product_id,product_name,category,subcategory,unit_price,stock_quantity,supplier,country_of_origin,weight_kg,dimensions,created_at,updated_at
101,"Ноутбук Lenovo ThinkPad","Электроника","Компьютеры",85000.00,25,"Lenovo Corp","Китай",1.8,"35x24x2 cm","2024-01-15 10:30:00","2024-01-20 14:15:00"
102,"Смартфон iPhone 15","Электроника","Телефоны",99900.00,42,"Apple Inc","США",0.17,"14.8x71.6x7.8 mm","2024-01-16 09:45:00","2024-01-25 11:20:00"
103,"Кофеварка DeLonghi","Бытовая техника","Кухонная техника",24500.00,18,"DeLonghi","Италия",4.2,"24x34x31 cm","2024-01-17 14:20:00","2024-01-22 16:30:00"
104,"Фитнес-браслет Xiaomi","Электроника","Гаджеты",8900.00,67,"Xiaomi","Китай",0.05,"N/A","2024-01-18 11:10:00","2024-01-23 09:45:00"
105,"Набор кастрюль Tefal","Дом и кухня","Посуда",12700.00,32,"Tefal","Франция",8.5,"Разные размеры","2024-01-19 13:25:00","2024-01-24 10:15:00"
106,"Книга 'Python для анализа данных'","Книги","Программирование",3500.00,89,"Издательство O'Reilly","США",0.8,"23x18x3 cm","2024-01-20 15:40:00","2024-01-28 12:30:00"
107,"Игровая консоль PlayStation 5","Электроника","Игры",64900.00,15,"Sony","Япония",4.5,"39x10x26 cm","2024-01-21 12:15:00","2024-01-26 14:45:00"
108,"Зубная щетка Oral-B","Красота и здоровье","Гигиена",4200.00,124,"Oral-B","Германия",0.3,"2x4x23 cm","2024-01-22 10:50:00","2024-01-27 08:20:00"
109,"Стул офисный IKEA","Мебель","Офисная мебель",8900.00,56,"IKEA","Швеция",7.8,"44x58x80 cm","2024-01-23 16:35:00","2024-01-29 13:10:00"
110,"Внешний жесткий диск 2TB","Электроника","Аксессуары",11200.00,38,"Western Digital","США",0.23,"11x8x1.5 cm","2024-01-24 09:25:00","2024-01-30 11:40:00"